seq,ts_code,symbol,name,area,industry,market,list_date
2687,301278.SZ,301278,快可电子,江苏,电气设备,创业板,20220804
2688,301279.SZ,301279,金道科技,浙江,机械基件,创业板,20220413
2689,301280.SZ,301280,珠城科技,浙江,元器件,创业板,20221226
2690,301282.SZ,301282,金禄电子,广东,元器件,创业板,20220826
2691,301283.SZ,301283,聚胶股份,广东,日用化工,创业板,20220902
2692,301285.SZ,301285,鸿日达,江苏,元器件,创业板,20220928
2693,301286.SZ,301286,侨源股份,四川,化工原料,创业板,20220614
2694,301288.SZ,301288,清研环境,深圳,环境保护,创业板,20220422
2695,301289.SZ,301289,国缆检测,上海,电器仪表,创业板,20220622
2696,301290.SZ,301290,东星医疗,江苏,医疗保健,创业板,20221130
2697,301296.SZ,301296,新巨丰,山东,广告包装,创业板,20220902
2698,301297.SZ,301297,富乐德,安徽,半导体,创业板,20221230
2699,301298.SZ,301298,东利机械,河北,汽车配件,创业板,20220606
2700,301299.SZ,301299,卓创资讯,山东,互联网,创业板,20221019
2701,301300.SZ,301300,远翔新材,福建,化工原料,创业板,20220819
2702,301301.SZ,301301,川宁生物,新疆,化学制药,创业板,20221227
2703,301302.SZ,301302,华如科技,北京,软件服务,创业板,20220623
2704,301303.SZ,301303,真兰仪表,上海,电器仪表,创业板,20230220
2705,301306.SZ,301306,西测测试,陕西,综合类,创业板,20220726
2706,301308.SZ,301308,江波龙,深圳,IT设备,创业板,20220805
2707,301309.SZ,301309,万得凯,浙江,机械基件,创业板,20220919
2708,301311.SZ,301311,昆船智能,云南,机械基件,创业板,20221130
2709,301312.SZ,301312,智立方,深圳,专用机械,创业板,20220711
2710,301313.SZ,301313,凡拓数创,广东,文教休闲,创业板,20220930
2711,301316.SZ,301316,慧博云通,浙江,软件服务,创业板,20221013
2712,301317.SZ,301317,鑫磊股份,浙江,机械基件,创业板,20230119
2713,301318.SZ,301318,维海德,深圳,通信设备,创业板,20220810
2714,301319.SZ,301319,唯特偶,深圳,元器件,创业板,20220929
2715,301321.SZ,301321,翰博高新,安徽,元器件,创业板,20220818
2716,301322.SZ,301322,绿通科技,广东,摩托车,创业板,20230306
2717,301326.SZ,301326,捷邦科技,广东,元器件,创业板,20220921
2718,301327.SZ,301327,华宝新能,深圳,电气设备,创业板,20220919
2719,301328.SZ,301328,维峰电子,广东,专用机械,创业板,20220908
2720,301330.SZ,301330,熵基科技,广东,IT设备,创业板,20220817
2721,301331.SZ,301331,恩威医药,西藏,中成药,创业板,20220921
2722,301333.SZ,301333,诺思格,北京,医疗保健,创业板,20220802
2723,301335.SZ,301335,天元宠物,浙江,文教休闲,创业板,20221118
2724,301336.SZ,301336,趣睡科技,四川,家居用品,创业板,20220812
2725,301338.SZ,301338,凯格精机,广东,专用机械,创业板,20220816
