trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
20190816,000026.SZ,6.4845,6.7709,6.4845,6.6416,6.5215,0.12010000000000076,1.8416,42811.35,30910.264
20190819,000026.SZ,6.854,7.0849,6.7986,6.9649,6.6416,0.3232999999999997,4.8678,108013.0,80909.608
20190820,000026.SZ,6.9556,6.9926,6.8632,6.9371,6.9649,-0.027800000000000047,-0.3991,58976.99,44236.023
20190821,000026.SZ,6.9002,7.6299,6.8817,7.2882,6.9371,0.35109999999999975,5.0612,148063.33,116834.015
20190822,000026.SZ,7.3251,7.5376,7.1496,7.3713,7.2882,0.08309999999999995,1.1402,91225.97,72434.409
20190823,000026.SZ,7.2789,7.4082,7.1496,7.205,7.3713,-0.16629999999999967,-2.256,54003.39,42427.306
20190826,000026.SZ,6.9741,7.3436,6.9371,7.3343,7.205,0.12929999999999975,1.7946,68358.22,53102.458
20190827,000026.SZ,7.2789,7.6115,7.2789,7.3805,7.3343,0.0461999999999998,0.6299,73064.7,58786.292
20190828,000026.SZ,7.3805,7.4452,7.242,7.3159,7.3805,-0.06459999999999955,-0.8753,38578.03,30645.208
20190829,000026.SZ,7.3898,7.4082,7.2604,7.2697,7.3159,-0.0461999999999998,-0.6315,31916.0,25286.569
20190830,000026.SZ,7.3066,7.4544,7.0849,7.2604,7.2697,-0.00930000000000053,-0.1279,48536.64,38325.744
20190902,000026.SZ,7.2604,7.4821,7.205,7.4267,7.2604,0.16630000000000056,2.2905,63455.49,50721.56
20190903,000026.SZ,7.399,7.6484,7.3898,7.556,7.4267,0.12929999999999975,1.741,86133.65,70347.696
20190904,000026.SZ,7.5745,7.8239,7.4914,7.6669,7.556,0.1109,1.4677,90944.54,75193.157
20190905,000026.SZ,7.6392,7.7315,7.5376,7.556,7.6669,-0.1109,-1.4465,78210.84,64646.242
20190906,000026.SZ,7.5745,7.6022,7.4452,7.4821,7.556,-0.07390000000000008,-0.978,38178.01,31029.961
20190909,000026.SZ,7.5653,7.6946,7.4821,7.6761,7.4821,0.19399999999999995,2.5929,49803.59,41006.143
20190910,000026.SZ,7.6669,7.6669,7.4821,7.5191,7.6761,-0.15700000000000003,-2.0453,31730.91,25942.993
20190911,000026.SZ,7.5745,7.593,7.4914,7.5098,7.5191,-0.009299999999999642,-0.1237,21754.0,17769.805
20190912,000026.SZ,7.5098,7.5468,7.4082,7.5191,7.5098,0.009299999999999642,0.1238,23240.0,18851.461
20190916,000026.SZ,7.5376,7.556,7.3713,7.4175,7.5191,-0.10159999999999947,-1.3512,30506.0,24660.954
20190917,000026.SZ,7.399,7.4267,7.1958,7.2235,7.4175,-0.19400000000000084,-2.6154,32587.01,25676.689
20190918,000026.SZ,7.205,7.2697,7.1958,7.242,7.2235,0.018500000000000405,0.2561,14695.0,11500.483
20190919,000026.SZ,7.242,7.2789,7.1773,7.2697,7.242,0.02770000000000028,0.3825,17507.0,13687.803
20190920,000026.SZ,7.205,7.3343,7.205,7.2604,7.2697,-0.00930000000000053,-0.1279,14159.0,11161.842
20190923,000026.SZ,7.2235,7.2604,7.0572,7.1404,7.2604,-0.1200000000000001,-1.6528,29594.26,22794.232
20190924,000026.SZ,7.1496,7.2512,7.0942,7.1773,7.1404,0.036900000000000155,0.5168,25856.74,20088.451
20190925,000026.SZ,7.1404,7.242,7.0849,7.1865,7.1773,0.009199999999999875,0.1282,22672.01,17561.377
20190926,000026.SZ,7.1496,7.1958,6.891,6.9371,7.1865,-0.24939999999999962,-3.4704,28475.83,21638.853
20190927,000026.SZ,6.9741,7.3898,6.9279,7.2697,6.9371,0.33260000000000023,4.7945,58126.3,45523.382
20190930,000026.SZ,7.242,7.3528,7.1219,7.1311,7.2697,-0.13860000000000028,-1.9065,26340.4,20585.547
20191008,000026.SZ,7.6484,7.6576,7.2974,7.3251,7.1311,0.19399999999999995,2.7205,95213.72,76843.432
20191009,000026.SZ,7.2604,7.6484,7.205,7.6299,7.3251,0.3048000000000002,4.161,99883.23,81228.279
20191010,000026.SZ,7.556,7.5837,7.4821,7.5653,7.6299,-0.06460000000000043,-0.8467,57056.34,46517.187
20191011,000026.SZ,7.5653,7.6022,7.4544,7.4729,7.5653,-0.0923999999999996,-1.2214,37472.0,30436.032
20191014,000026.SZ,7.4821,7.5745,7.4821,7.4914,7.4729,0.018499999999999517,0.2476,38616.4,31476.529
20191015,000026.SZ,7.4914,7.5283,7.3528,7.4637,7.4914,-0.027699999999999392,-0.3698,31394.73,25260.918
20191016,000026.SZ,7.4637,7.4914,7.3436,7.3621,7.4637,-0.10160000000000036,-1.3613,22439.33,17984.004
20191017,000026.SZ,7.3621,7.3805,7.1681,7.242,7.3621,-0.12009999999999987,-1.6313,29308.5,23022.446
20191018,000026.SZ,7.2697,7.3713,7.1404,7.1958,7.242,-0.0461999999999998,-0.6379,32188.44,25331.776
20191021,000026.SZ,7.1773,7.3621,7.1404,7.3343,7.1958,0.13849999999999962,1.9247,24896.4,19636.727
20191022,000026.SZ,7.3343,7.5837,7.3343,7.5653,7.3343,0.23099999999999987,3.1496,54428.07,44301.776
20191023,000026.SZ,7.556,7.6022,7.4637,7.5006,7.5653,-0.06469999999999931,-0.8552,33479.0,27310.213
20191024,000026.SZ,7.4729,7.593,7.4544,7.5006,7.5006,0.0,0.0,31310.83,25488.832
20191025,000026.SZ,7.5191,7.556,7.399,7.5006,7.5006,0.0,0.0,36267.0,29372.818
20191028,000026.SZ,7.4914,7.5376,7.3621,7.4544,7.5006,-0.046200000000000685,-0.616,75446.41,60566.779
20191029,000026.SZ,7.4544,7.5006,7.3713,7.399,7.4544,-0.05539999999999967,-0.7432,36128.82,29082.281
20191030,000026.SZ,7.3898,7.4175,7.205,7.2882,7.399,-0.11080000000000023,-1.4975,30161.9,23779.134
20191031,000026.SZ,7.2882,7.3251,7.2327,7.2604,7.2882,-0.027800000000000047,-0.3814,20300.0,15989.288
20191101,000026.SZ,7.2789,7.3251,7.1773,7.2882,7.2604,0.027800000000000047,0.3829,17590.0,13855.105
20191104,000026.SZ,7.2882,7.4637,7.2604,7.4452,7.2882,0.15700000000000003,2.1542,39349.36,31478.094
20191105,000026.SZ,7.4637,7.4914,7.3436,7.399,7.4452,-0.0461999999999998,-0.6205,23085.35,18566.36
20191106,000026.SZ,7.4082,7.6022,7.4082,7.4821,7.399,0.08309999999999995,1.1231,53595.83,43643.159
20191107,000026.SZ,7.5191,7.6207,7.4452,7.556,7.4821,0.07390000000000008,0.9877,37827.84,30855.05
20191108,000026.SZ,7.593,7.6207,7.436,7.4452,7.556,-0.11080000000000023,-1.4664,30883.99,25127.316
20191111,000026.SZ,7.436,7.436,7.2327,7.3066,7.4452,-0.1385999999999994,-1.8616,31648.3,25035.558
20191112,000026.SZ,7.2789,8.0364,7.205,7.9255,7.3066,0.6189,8.4704,185912.32,156518.128
20191113,000026.SZ,7.7408,7.7962,7.6022,7.7315,7.9255,-0.19400000000000084,-2.4478,155067.37,129233.791
20191114,000026.SZ,7.6576,8.0179,7.5283,7.944,7.7315,0.21250000000000036,2.7485,151108.76,127197.87
20191115,000026.SZ,7.9809,8.4705,7.8054,7.8516,7.944,-0.0923999999999996,-1.1631,218007.35,192190.026
20191118,000026.SZ,7.6946,8.4243,7.6946,8.3042,7.8516,0.45259999999999945,5.7644,197801.2,174338.337
20191119,000026.SZ,8.2026,8.295,8.0826,8.2211,8.3042,-0.08309999999999995,-1.0007,134960.34,119420.865
